epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2166.18,0.67175,0.56326,1.06213,0.84399,0.78841,0.86359,0.70371,0.70683,0.60656,1.08812,0.000742625,0.000742625,0.000742625
43,2218.04,0.66585,0.56484,1.0652,0.84179,0.77301,0.84476,0.69251,0.69612,0.61927,1.08165,0.00073025,0.00073025,0.00073025
44,2269.99,0.65255,0.55551,1.05986,0.85041,0.75502,0.84991,0.69246,0.70578,0.61467,1.07658,0.000717875,0.000717875,0.000717875
45,2322.54,0.64834,0.56458,1.0594,0.83647,0.77297,0.84858,0.6989,0.6969,0.62588,1.07416,0.0007055,0.0007055,0.0007055
46,2374.65,0.65,0.55481,1.05254,0.87451,0.77242,0.84687,0.69101,0.71701,0.61387,1.08393,0.000693125,0.000693125,0.000693125
47,2430.67,0.64013,0.52367,1.04819,0.84608,0.7798,0.85304,0.69789,0.68918,0.6034,1.07487,0.00068075,0.00068075,0.00068075
48,2488.23,0.62011,0.51182,1.03692,0.86947,0.78609,0.85839,0.70827,0.68671,0.59423,1.06885,0.000668375,0.000668375,0.000668375
49,2542.33,0.61587,0.50921,1.04111,0.84486,0.77642,0.85509,0.70215,0.69803,0.59655,1.08656,0.000656,0.000656,0.000656
50,2600.44,0.63212,0.52243,1.05282,0.85017,0.79914,0.8539,0.69696,0.70258,0.58674,1.08567,0.000643625,0.000643625,0.000643625
51,2652.46,0.6257,0.52064,1.04299,0.85781,0.77808,0.86123,0.71121,0.69168,0.58978,1.06857,0.00063125,0.00063125,0.00063125
52,2704.27,0.60926,0.50151,1.04037,0.87806,0.77006,0.8653,0.70711,0.69161,0.57578,1.07549,0.000618875,0.000618875,0.000618875
53,2756.16,0.61754,0.49205,1.03651,0.86886,0.78182,0.85618,0.7029,0.68887,0.60436,1.07451,0.0006065,0.0006065,0.0006065
54,2807.93,0.61317,0.49267,1.03408,0.87384,0.78697,0.85798,0.70958,0.69159,0.57527,1.08195,0.000594125,0.000594125,0.000594125
55,2859.68,0.60977,0.47579,1.02597,0.88235,0.7731,0.85342,0.70266,0.69539,0.57105,1.08746,0.00058175,0.00058175,0.00058175
